mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.18414754867553712,0.03539007228859698,0.04287257194519043,0.01600827457632532,0.8,0.03,4,3,100,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.4143700787401574,0.47244094488188976,0.34195725534308213,0.5427446569178853,0.4814398200224972,0.4505905511811024,0.06787431308757433,131,0.8688569101276133,0.8634944338854195,0.8928149606299213,0.869225721784777,0.8857939632545931,0.876037197936465,0.011242432662854778
0.11022439002990722,0.018659915150179427,0.023064804077148438,0.004581278091264015,0.8,0.03,4,3,100,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.4576771653543307,0.515748031496063,0.3217097862767154,0.4932508436445444,0.5821147356580427,0.4741001124859393,0.08632610635889443,78,0.8954995927233234,0.8881686125441217,0.9196850393700787,0.9011811023622047,0.8920275590551181,0.8993123812109693,0.01104832013659201
0.1401388168334961,0.007568758523922411,0.02094998359680176,0.0014684933145379456,0.8,0.03,4,3,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.5029527559055118,0.4832677165354331,0.3532058492688414,0.5708661417322836,0.4398200224971879,0.4700224971878516,0.0720938237691073,84,0.9227531903339669,0.9135894651099647,0.9440944881889765,0.9151246719160104,0.91000656167979,0.9211136754457417,0.01222011165312554
0.13918890953063964,0.014532115411697293,0.022882413864135743,0.0015204520908070457,0.8,0.03,4,3,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.5049212598425197,0.5226377952755905,0.3408323959505062,0.5056242969628797,0.5151856017997751,0.4778402699662543,0.06881566942890131,72,0.9298126527287537,0.9324599511267988,0.9608923884514435,0.9263123359580052,0.924015748031496,0.9346986152592993,0.013412317724507732
0.26139092445373535,0.010793797255968247,0.022902822494506835,0.0018164879292591682,0.8,0.03,4,3,400,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.5492125984251969,0.4645669291338583,0.36670416197975253,0.5989876265466817,0.4251968503937008,0.4809336332958381,0.08369180663860064,66,0.9592723323377681,0.9512625576975292,0.9681102362204725,0.9512795275590551,0.9377624671916012,0.9535374242012853,0.01004368861519266
0.27021045684814454,0.05534474141430924,0.02481532096862793,0.0029352241111145812,0.8,0.03,4,3,400,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.5413385826771653,0.515748031496063,0.37120359955005633,0.5641169853768279,0.48031496062992124,0.4945444319460067,0.06766840349450431,25,0.9653814824871029,0.9649742058104807,0.9815944881889763,0.9557086614173228,0.9513779527559055,0.9638073581319576,0.010395195074008986
0.12700529098510743,0.02730803591402757,0.026670360565185548,0.004791966264907381,0.8,0.1,2,1,100,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.422244094488189,0.4734251968503937,0.3217097862767154,0.5106861642294713,0.5764904386951631,0.4609111361079865,0.08586604244958826,106,0.9119264186804236,0.9243483573174043,0.9512795275590551,0.921981627296588,0.923753280839895,0.9266578423386731,0.013106329858308032
0.0833512783050537,0.014603205983217633,0.023118066787719726,0.0018086197404254456,0.8,0.1,2,1,100,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.5501968503937008,0.5836614173228346,0.3228346456692913,0.6017997750281214,0.516872890888639,0.5150731158605175,0.10041754213983907,1,0.9092791202823785,0.8992669019820798,0.9385170603674541,0.9191601049868766,0.9047900262467191,0.9142026427731016,0.013796246671609943
0.1358654022216797,0.022680712292727584,0.024915456771850586,0.003138005564459016,0.8,0.1,2,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.47244094488188976,0.4763779527559055,0.344206974128234,0.5838020247469067,0.5213723284589427,0.47964004499437574,0.07873485439317061,68,0.9666711919630736,0.9674518055932664,0.9854330708661417,0.9674540682414698,0.9575459317585302,0.9689112136844964,0.00907096731466613
0.1281728744506836,0.017720336580337667,0.02382655143737793,0.0005968756325025154,0.8,0.1,2,1,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.5295275590551182,0.5915354330708662,0.35433070866141736,0.5838020247469066,0.4910011248593926,0.5100393700787402,0.08610455160779511,5,0.9649402660874288,0.9536383383111594,0.9809055118110236,0.9530839895013122,0.9580708661417323,0.9621277943705312,0.010303713959378524
0.22326183319091797,0.02661044361060878,0.02603297233581543,0.00400704695699746,0.8,0.1,2,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.48425196850393704,0.5255905511811023,0.36220472440944884,0.5815523059617548,0.4876265466816648,0.4882452193475816,0.07211576997383844,46,0.9892750475156122,0.9910738528373608,0.9961942257217848,0.9891076115485564,0.9853018372703413,0.9901905149787311,0.0035421676614855076
0.24418954849243163,0.06409444010067757,0.02787051200866699,0.003422343753494672,0.8,0.1,2,1,400,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.5403543307086615,0.5846456692913387,0.3397075365579303,0.5849268841394826,0.5078740157480315,0.511501687289089,0.09066439973243229,3,0.9867974477328265,0.9853380396415965,0.9973753280839895,0.978248031496063,0.9874015748031496,0.987032084351525,0.0061188829126341375
0.15881986618041993,0.06346370809662401,0.027907276153564455,0.005799701807958887,0.8,0.1,2,3,100,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.437007874015748,0.4773622047244095,0.36670416197975253,0.5719910011248595,0.44825646794150736,0.4602643419572554,0.06665394646511723,108,0.8832473527016019,0.8899674178658702,0.9222769028871391,0.8916338582677166,0.8986548556430447,0.8971560774730746,0.013482778364680962
0.09869756698608398,0.028262528549707417,0.022145700454711915,0.0011854562499771485,0.8,0.1,2,3,100,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.49803149606299213,0.515748031496063,0.3503937007874016,0.4595050618672666,0.4268841394825647,0.4501124859392577,0.058610355818090085,133,0.8926825957100191,0.8946171599239751,0.935498687664042,0.8932414698162731,0.8770669291338583,0.8986213684496335,0.019518076460213966
0.1269550323486328,0.008588602484952006,0.02498903274536133,0.0019770724849849665,0.8,0.1,2,3,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.5610236220472441,0.4734251968503937,0.3880764904386952,0.5528683914510686,0.4021372328458943,0.4755061867266591,0.07256642222000531,74,0.9422345913657345,0.933613901710562,0.9577755905511811,0.9281167979002626,0.9228018372703412,0.9369085437596162,0.012255195260504096
0.11781744956970215,0.011483228842570917,0.02418355941772461,0.001281224987801871,0.8,0.1,2,3,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.4921259842519685,0.48917322834645666,0.37570303712036,0.4583802024746907,0.4178852643419572,0.4466535433070867,0.04444045283147864,138,0.937720608199837,0.9375848493076295,0.96496062992126,0.9239501312335958,0.916240157480315,0.9360912752285275,0.016612040110684907
0.22504081726074218,0.01698279194839135,0.026584434509277343,0.002287572578309065,0.8,0.1,2,3,400,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.5649606299212598,0.4744094488188976,0.3869516310461193,0.5989876265466817,0.3897637795275591,0.48301462317210353,0.08736446973011161,58,0.9680966603312517,0.9630057018734728,0.9771325459317586,0.9528543307086614,0.9472112860892389,0.9616601049868766,0.010667205188341421
0.26966552734375,0.06845843684163877,0.026604604721069337,0.0027470521905278555,0.8,0.1,2,3,400,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.5009842519685039,0.5049212598425197,0.3779527559055118,0.5,0.43025871766029244,0.4628233970753656,0.05074261479021711,102,0.9655511811023623,0.9631754004887321,0.9811023622047244,0.9523950131233597,0.9476706036745407,0.9619789121187438,0.011631662338548236
0.14671096801757813,0.04831216206709302,0.02448716163635254,0.0020436998153152723,0.8,0.1,3,1,100,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.5059055118110236,0.49803149606299213,0.3217097862767154,0.562429696287964,0.5033745781777278,0.4782902137232846,0.08170487261182942,71,0.975529459679609,0.9825210426282922,0.9918307086614173,0.9719160104986877,0.9812992125984252,0.9806192868132863,0.006803356715165323
